Sr. No.,Venue,Stage,Team 1,Team 2,Toss Winner,Toss decision,First Batting,Second batting,First  Innings Score ,second Innings Score,First  Innings Run Rate,Second  Innings Run Rate,Winner,Won by,Player of the match
36,"Eden Gardens, Kolkata",Group Stage,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bowling,Kolkata Knight Riders,Royal Challengers Bengaluru,222/6,221/10,RR 11.10,RR 11.05,KKR,1 run,Andre Russell
37,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Group Stage,Punjab Kings,Gujarat Titans,Punjab Kings,Batting,Punjab Kings,Gujarat Titans,142/10,146/7,RR 7.10,RR 7.62,GT,3 wickets,Sai Kishore
38,"Sawai Mansingh Stadium, Jaipur",Group Stage,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bowling,Mumbai Indians,Rajasthan Royals,179/9,183/1,RR 8.95,RR 9.80,RR,9 wickets,Sandeep Sharma
39,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Bowling,Chennai Super Kings,Lucknow Super Giants,210/4,213/4,RR 10.50,RR 10.92,LSG,6 wickets,Marcus Stoinis
40,"Arun Jaitley Stadium, Delhi",Group Stage,Delhi Capitals,Gujarat Titans,Delhi Capitals,Batting,Delhi Capitals,Gujarat Titans,224/4,220/8,RR 11.20,RR 11.00,DC,4 runs,Rishabh Pant
41,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Batting,Royal Challengers Bengaluru,Sunrisers Hyderabad,206/7,171/8,RR 10.30,RR 8.55,RCB,35 runs,Rajat Patidar
42,"Eden Gardens, Kolkata",Group Stage,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Bowling,Kolkata Knight Riders,Punjab Kings,261/6,262/2,RR 13.05,RR 14.04,PBKS,8 wickets,Jonny Bairstow
43,"Arun Jaitley Stadium, Delhi",Group Stage,Delhi Capitals,Mumbai Indians,Mumbai Indians,Bowling,Delhi Capitals,Mumbai Indians,257/4,247/9,RR 12.85,RR 12.35,DC,10 runs,Jake Fraser-McGurk
44,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group Stage,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Bowling,Lucknow Super Giants,Rajasthan Royals,196/5,199/3,RR 9.80,RR 10.47,RR,7 wickets,Sanju Samson
45,"Narendra Modi Stadium, Ahmedabad",Group Stage,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bowling,Gujarat Titans,Royal Challengers Bengaluru,200/3,206/1,RR 10.00,RR 12.88,RCB,9 wickets,Will Jacks
